X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.7452553,43.42469568,14 Mile Creek Trail,Encounter,9/30/2012,,Complete
-79.68047573,43.46939328,Eighth Line @ Iroquois Shore Rd,Encounter,3/7/2012,,Complete
-79.68223983,43.43268649,West of Downtown Oakville,Encounter,6/28/2012,,Complete
-79.71642783,43.3884862,Strathcona Ave @ Lakeshore Rd W,Encounter,4/17/2012,,Complete
-79.69039201,43.41841662,Willowridge Crt,Encounter,6/18/2012,,Complete
-79.77701055,43.43627359,3017 Old Bronte Rd,Encounter,5/7/2012,,Complete
-79.71662823,43.38879488,107 Strathcona Ave,Encounter,4/28/2012,,Complete
-79.76187949,43.43515102,2324 Adirondak Trail,Encounter,5/17/2012,,Complete
-79.77019101,43.43075374,Khalsa Gate,Encounter,4/19/2012,,Complete
-79.69849106,43.41313881,1359 Willowdown Rd,Encounter,6/24/2012,,Complete
-79.76605475,43.41781572,Bronte Provincial Park,Encounter,5/18/2012,,Complete
-79.69569708,43.43189798,Wildwood Dr,Encounter,10/23/2012,,Complete
-79.71999106,43.47269062,Crosstown Heritage Trail near Lane 102,Encounter,10/27/2012,,Complete
-79.78419511,43.42578341,End of Stalybridge Dr,Encounter,10/29/2012,,Complete
-79.65511354,43.49900905,Jonathan Park,Encounter,11/12/2012,,Complete
-79.75542424,43.44276294,Trail behind Pope John Paul II School,Encounter,11/14/2012,,Complete
-79.75576188,43.4430971,Ravine near Pope John Paul II School,Encounter,11/20/2012,,Complete
-79.76974538,43.43791847,Millstone Park,Encounter,11/22/2012,,Complete
-79.67287162,43.46479125,Cornwall Rd and Chartwell Rd,Encounter,11/24/2012,,Complete
-79.65651003,43.47835951,Maplegrove Rd and Constance Dr,Encounter,11/22/2012,,Complete
-79.73139292,43.44862348,UMR W between Westoak Trails Blvd and Fourth Line,Encounter,12/2/2012,,Complete
-79.73583903,43.44596546,Glen Oak Creek Trail,Encounter,12/1/2012,,Complete
-79.73655843,43.44641748,Glen Oak Creek Trail ,Encounter,12/1/2012,,Complete
-79.77421197,43.43421366,300 meters south of 2460 Old Bronte Rd,Encounter,12/19/2012,,Complete
-79.65496534,43.49990906,Walkway near Jonathan Park,Encounter,12/28/2012,,Complete
-79.7414301,43.44576952,Taplow Creek Woods,Encounter,1/4/2013,,Complete
-79.73489158,43.44593165,Glen Oak Creek Trail,Encounter,1/5/2013,,Complete
-79.72914835,43.45083903,Upper Middle Rd W and Westoak Trails Blvd,Encounter,1/6/2013,,Complete
-79.73841391,43.43896204,,Encounter,3/25/2013,,Complete
-79.67953866,43.43020818,Property in adjacent field,Encounter,3/25/2013,,Complete
-79.67048682,43.43783328,Waterworks Park (Kerr @ Lakeshore),Encounter,5/18/2013,,Complete
-79.68828551,43.48235665,Behind Falgarwood School,Encounter,5/14/2013,,Complete
-79.74834868,43.45840964,Lions Valley Park,Encounter,5/12/2013,,Complete
-79.65616969,43.47078502,Wedgewood and Devon,Encounter,5/9/2013,,Complete
-79.69010033,43.50162983,Pinery Park,Encounter,5/1/2013,,Complete
-79.75109118,43.42979262,Ravine between Upper Middle and Stationmaster Lane,Encounter,11/8/2013,,Complete
-79.7428832,43.43861192,North of UMR btwn Bishops Gate and Third Line,Encounter,10/28/2013,,Complete
-79.71786673,43.37953826,South Shell Park,Encounter,10/24/2013,,Complete
-79.7460265,43.44169844,McCraney Creek Trail by Nightingale Way,Encounter,10/23/2013,,Complete
-79.69918247,43.49377934,1216 Milna Drive,Encounter,10/20/2013,,Complete
-79.7678238,43.42592688,Richview Blvd at Fourtneen Mile Creek,Encounter,10/17/2013,,Complete
-79.70387953,43.41034646,260 Tracina Dr,Encounter,10/9/2013,,Complete
-79.69707995,43.41856679,T.A. Blakelock Secondary School,Encounter,9/21/2013,,Complete
-79.72932838,43.45065836,Dorval Dr and UMR,Encounter,9/7/2013,,Complete
-79.69978434,43.40053331,Trail across from 2110 Marine Drive,Encounter,8/29/2013,,Complete
-79.69923703,43.40449279,2019 Lakeshore rd west,Encounter,8/26/2013,,Complete
-79.74480176,43.46784683,In Cow pasture behind 3045 Gladeside Ave,Encounter,8/19/2013,,Complete
-79.72267518,43.43455602,Trail bey Fairfield PL and Pilgrims Way,Encounter,8/18/2013,,Complete
-79.70309303,43.41173931,1460 Willowdown road,Encounter,8/12/2013,,Complete
-79.67106199,43.44356005,Lot beside Centennial Pool,Encounter,8/1/2013,,Complete
-79.65162981,43.47326128,Maple Grove Public School,Encounter,7/3/2013,,Complete
-79.67748823,43.4399355,Oakville Arena parking lot,Encounter,7/3/2013,,Complete
-79.71156191,43.46063998,103 Ringwood Drive,Encounter,6/29/2013,,Complete
-79.64969983,43.47888604,Devon rd near Brook place,Encounter,6/26/2013,,Complete
-79.65164426,43.47270371,Maple Grove Public School,Encounter,6/26/2013,,Complete
-79.65734015,43.47174703,Devon road headed toward Ash road,Encounter,7/23/2013,,Complete
-79.68381612,43.46997986,Path by Eighth Line and Iroquois Shore Rd,Encounter,6/20/2013,,Complete
-79.7442042,43.44230955,"2155 Nightingale Way, in forest behind the house",Encounter,6/4/2013,,Complete
-79.69571814,43.42027063,Rebecca and WIllowbrook,Encounter,11/25/2014,,Complete
-79.72896694,43.38716489,Nautical Park,Encounter,11/25/2014,,Complete
-79.68787898,43.49472269,Bayshire Woods Park,Encounter,11/26/2014,,Complete
-79.67378977,43.44055738,60 Lakeshore Road W,Encounter,11/28/2014,,Complete
-79.68482838,43.46329354,Trafalgar above QEW,Encounter,11/30/2014,,Complete
-79.69452212,43.41801175,281 Tweedsdale Cres,Encounter,12/7/2014,,Complete
-79.69245773,43.40647877,Coronation park - west side,Encounter,12/8/2014,,Complete
-79.69957702,43.41505593,Savoy Cres,Encounter,12/8/2014,,Complete
-79.71193131,43.43914821,1047 Manchester Cres - behind house ,Encounter,12/8/2014,,Complete
-79.70012234,43.45036244,Kerr St by QEW,Encounter,12/10/2014,,Complete
-79.73873559,43.44115822,Bishop's Gate and UMR,Encounter,12/13/2014,,Complete
-79.68805531,43.49674786,Joshua's Creek near Bayshire Dr,Encounter,12/14/2014,,Complete
-79.71818201,43.38980836,Riverview St near Mississauga St,Encounter,12/13/2014,,Complete
-79.68880699,43.49414779,Bayshire Woods Park,Encounter,12/15/2014,,Complete
-79.69819122,43.42273716,Lees Lane at Summerlea St,Encounter,12/14/2014,,Complete
-79.69107174,43.50003834,Rock Point Pond,Encounter,12/13/2014,,Complete
-79.70016039,43.41190963,Woodhaven Park,Encounter,12/15/2014,,Complete
-79.75498985,43.42702297,Grand Oak Trail at UMR,Encounter,12/15/2014,,Complete
-79.69670638,43.41080487,Viewbank Cres,Encounter,12/15/2014,,Complete
-79.69532278,43.42405214,Winston Rd and Scott Ave,Encounter,12/14/2014,,Complete
-79.69098836,43.49381016,Bayshire Woods Park,Encounter,12/15/2014,,Complete
-79.71182221,43.41817663,Trudale Court,Encounter,12/16/2014,,Complete
-79.70424894,43.41090355,Willowdown Rd,Encounter,12/15/2014,,Complete
-79.74938399,43.43133008,"Reeves Gate and UMR W,",Encounter,12/16/2014,,Complete
-79.69676348,43.40851263,Warland between Westminster and Walby,Encounter,11/17/2014,,Complete
-79.71968325,43.43455587,Berkshire Court (in woods behind),Encounter,12/18/2014,,Complete
-79.66779976,43.45865612,Post Park,Encounter,12/18/2014,,Complete
-79.67226396,43.45683892,Macdonald Rd and Watson Ave,Encounter,12/18/2014,,Complete
-79.67578041,43.43643982,Brookfield Rd and Lakwood Dr,Encounter,12/20/2014,,Complete
-79.72504661,43.42919166,Indian Ridge Trail at Fieldstone Cr,Encounter,12/21/2014,,Complete
-79.69044027,43.4257095,Rebecca St and Fourth Line,Encounter,12/21/2014,,Complete
-79.67846187,43.43101638,Shorewood Promenade,Encounter,12/21/2014,,Complete
